Date,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
August 2019,Aceh,22.63844112903226,6.106451751612903,0,0,0,10,70,1,6
August 2019,Bali,23.455779193548388,0.0677419354838709,0,0,0,2,0,1,1
August 2019,Banten,26.450940967741936,0.2064516129032258,0,0,0,0,0,0,0
August 2019,Bengkulu,25.21653274193548,2.2419354287096773,0,0,0,0,54,0,1
August 2019,Gorontalo,23.9013440967742,0.2774193561290322,0,0,0,0,0,0,0
August 2019,Jakarta Raya,27.14099454838709,0.6806451625806452,0,0,0,0,0,0,0
August 2019,Jambi,28.072983774193546,1.2612903387096774,0,0,0,0,0,0,0
August 2019,Jawa Barat,19.699328032258062,0.2806451754838709,0,0,0,0,9540,1,7
August 2019,Jawa Tengah,25.828359806451616,0.1225806451612903,0,0,0,0,330,0,2
August 2019,Jawa Timur,26.090726322580643,0.1741935516129032,0,0,0,0,81,0,2
August 2019,Kalimantan Barat,26.781585741935483,1.5451612883870969,1,0,0,9,2357,7,5
August 2019,Kalimantan Selatan,25.60322580645161,0.5645161290322581,0,0,0,0,0,0,0
August 2019,Kalimantan Tengah,26.928225483870968,2.38709674516129,0,0,0,0,163,3,2
August 2019,Kalimantan Timur,26.897312032258064,2.0580646032258065,0,0,0,21,0,1,1
August 2019,Kalimantan Utara,24.466263032258063,6.077419293548387,0,0,0,10,372,11,4
August 2019,Kepulauan Bangka Belitung,27.22634377419355,0.6483870870967742,0,0,0,0,0,0,0
August 2019,Kepulauan Riau,28.05712309677419,1.0193548625806452,0,0,0,0,0,0,0
August 2019,Lampung,26.397715483870964,0.7225806532258064,0,0,0,0,0,0,0
August 2019,Maluku,21.630779612903225,4.025806441935484,0,0,0,0,0,0,0
August 2019,Maluku Utara,24.541666129032254,5.596774123870968,0,0,0,0,184,7,1
August 2019,Nusa Tenggara Barat,23.946639612903223,0.2483871032258064,0,0,0,0,0,0,0
August 2019,Nusa Tenggara Timur,25.177957290322578,0.0129032258064516,0,0,0,0,0,0,0
August 2019,Papua,18.945967129032255,29.12258019032258,0,0,0,1,264,0,1
August 2019,Papua Barat,20.99596751612903,12.36129038387097,0,0,0,0,550,0,1
August 2019,Riau,27.578091387096773,2.4032257851612906,0,0,0,0,0,0,0
August 2019,Sulawesi Barat,16.406854967741936,1.1064516206451611,0,0,0,0,0,0,0
August 2019,Sulawesi Selatan,23.38400474193548,1.8419355403225808,1,0,0,8,11550,11,6
August 2019,Sulawesi Tengah,18.338037967741936,3.148387158064516,0,0,0,51,0,7,2
August 2019,Sulawesi Tenggara,24.36478464516129,0.8548387338709676,0,0,0,0,0,0,0
August 2019,Sulawesi Utara,24.120833677419355,1.5741935806451612,0,0,0,0,53,0,1
August 2019,Sumatera Barat,25.06948912903226,2.309677577096774,0,0,0,0,5,0,1
August 2019,Sumatera Selatan,28.627957516129037,0.919354870967742,0,0,0,0,175,0,2
August 2019,Sumatera Utara,20.178225741935485,6.341935483870968,0,0,0,0,0,2,1
August 2019,Yogyakarta,23.91706970967742,0.0516129048387096,0,0,0,0,0,0,0
August 2020,Aceh,22.020430193548385,5.732257970967742,1,0,0,0,1368,3,6
August 2020,Bali,23.730242290322582,1.0290322983870968,0,0,0,0,0,0,0
August 2020,Banten,26.20147835483871,2.406451611935484,0,0,0,0,0,0,0
August 2020,Bengkulu,26.217204451612904,5.251612752903226,0,0,0,0,105,0,2
August 2020,Gorontalo,22.875537516129032,11.367741803225806,0,0,0,0,0,0,0
August 2020,Jakarta Raya,27.082930096774195,1.596774191935484,0,0,0,0,0,0,5
August 2020,Jambi,27.10470364516129,1.6806451225806451,0,0,0,0,959,0,4
August 2020,Jawa Barat,20.38991922580645,1.5193548725806452,0,0,0,0,3251,0,10
August 2020,Jawa Tengah,26.193010516129032,0.8032257854838709,2,0,0,140,8474,1,15
August 2020,Jawa Timur,26.855241806451613,0.3032258096774193,0,0,0,0,2504,10,1
August 2020,Kalimantan Barat,25.900940612903227,4.987096691935483,0,0,0,14,413,4,2
August 2020,Kalimantan Selatan,25.15806451612903,5.290322580645161,0,0,0,0,11846,0,1
August 2020,Kalimantan Tengah,26.32647906451613,5.374193433548387,0,0,0,0,0,0,0
August 2020,Kalimantan Timur,26.325806612903225,5.490322758064516,0,0,0,0,0,0,1
