Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
3216 101 2022 012 06 1,3216,06/12/22,BANJIR,BEKASI,Jawa Barat,Dipicu air pasang laut dan naiknya debit kali citarum,0,0,0,0,186,0
3215 101 2022 012 05 1,3215,05/12/22,BANJIR,KARAWANG,Jawa Barat,Dipicu hujan dengan intensitas tinggi,0,0,0,0,464,0
1101 101 2022 012 05 1,1101,05/12/22,BANJIR,SIMEULUE,Aceh,Dipicu hujan intensitas sedang hingga lebat,0,0,0,1,0,0
3202 101 2022 012 04 1,3202,04/12/22,BANJIR,SUKABUMI,Jawa Barat,Dipicu hujan dengan intensitas tinggi,0,0,0,0,7,0
3215 101 2022 012 04 1,3215,04/12/22,BANJIR,KARAWANG,Jawa Barat,Hujan deras diwilayah hulu dan beberapa wilayah kabupaten Karawang sehingga Meluapnya sungai Citarum dan Cibeet serta sungai Cidawolong,0,0,0,0,482,0
3216 101 2022 012 04 1,3216,04/12/22,BANJIR,BEKASI,Jawa Barat,Curah hujan yang cukup tinggi dan meluapnya beberapa kali diantaranya :  - Kali Cilemahabang  - Kali Cikadu  - Kali Cibeet  - Kali Citarum,0,0,0,0,361,0
1104 101 2022 012 03 1,1104,03/12/22,BANJIR,ACEH TENGGARA,Aceh,Hujan dengan intensitas tinggi sehingga menyebabkan meluapnya Sungai Lawe Serke,0,0,0,0,10,0
3171 101 2022 012 03 1,3171,03/12/22,BANJIR,KOTA JAKARTA SELATAN,Jakarta Raya,Dipicu akibat hujan dengan intensitas sedang hingga lebat,0,0,0,0,399,0
3204 101 2022 012 03 1,3204,03/12/22,BANJIR,BANDUNG,Jawa Barat,Hujan Deras dan Luapan Sungai Cigundel Kecamatan Cimaung,0,0,0,0,4,0
3327 101 2022 012 02 1,3327,02/12/22,BANJIR,PEMALANG,Jawa Tengah,Naiknya gelombang pasang (rob) dan hujan menyebabkan luapan air masuk ke wilayah permukiman.,0,0,0,0,709,0
3375 101 2022 012 02 1,3375,02/12/22,BANJIR,KOTA PEKALONGAN,Jawa Tengah,Naiknya gelombang pasang (rob) mengakibatkan luapan Sungai Meduri (Kel. Tirto) dan limpasan Sungai Loji (Kel.Panjang Wetan) ditambah kondisi di sekitar wilayah pembangunan tanggul yang mengakibatkan limpasan air juga masuk melalui celah/bagian yang sedang dibangun,0,0,0,0,0,0
3315 101 2022 012 02 1,3315,02/12/22,BANJIR,GROBOGAN,Jawa Tengah,"Pada Hari Jum’at, Tanggal 02 Desember 2022 Pukul 06.00 Wib. terjadi banjir musiman dan terjadi apabila hujan turun dengan intensitas tinggi/ lebat, maka sungai Lusi yang tidak mampu menampung debit air yang besar sehingga mengakibatkan banjir. Akibat banjir luapan sungai lusi berdampak di  beberapa wilayah Kabupaten Grobogan",0,0,0,0,74,0
3326 101 2022 012 02 1,3326,02/12/22,BANJIR,PEKALONGAN,Jawa Tengah,"Hujan deras dan Rob air laut besar sehingga meluap masuk ke jalan dan pemukiman di Kecamatan Tirto,Kecamatan Siwalan dan Wonokerto",0,0,0,0,1072,0
1408 101 2022 012 02 1,1408,02/12/22,BANJIR,BENGKALIS,Riau,Hujan Deras dengan durasi yang cukup lama,0,0,0,0,185,0
3674 101 2022 012 01 1,3674,01/12/22,BANJIR,KOTA TANGERANG SELATAN,Banten,Dipicu akibat hujan dengan intensitas lebat dan drainase yang tidak lancar sehingga menyebabkan banjir pada hari Kamis 1 Desember 2022 Pukul 17.00 WIB,0,0,0,0,1580,0
1408 101 2022 012 01 1,1408,01/12/22,BANJIR,BENGKALIS,Riau,hujan dengan intensitas tinggi,0,0,0,0,3,0
3317 101 2022 011 030 1,3317,30/11/22,BANJIR,REMBANG,Jawa Tengah,hujan dengan intensitas tinggi,0,0,0,0,14,0
3318 101 2022 011 030 1,3318,30/11/22,BANJIR,PATI,Jawa Tengah,dipicu akibat hujan disertai angin puting beliung yang terjadi di wilayah Kab. Pati,2,0,7,632,4219,4
3523 101 2022 011 029 1,3523,29/11/22,BANJIR,TUBAN,Jawa Timur,hujan lebat dengan durasi cukup lama,0,0,0,0,3,0
